Incident Number,Incident Types,Reported Date,Nearest Populated Centre,Province,Company,Substance,Significant,What happened category
INC2007-097,Release of Substance,01/02/2008,Grande Prairie,Alberta,Alliance Pipeline Ltd.,Natural Gas - Sweet,No,Corrosion and Cracking
INC2008-001,Release of Substance,01/02/2008,Cromer,Manitoba,Enbridge Pipelines Inc.,Crude Oil - Sweet,No,Corrosion and Cracking
INC2008-004,Release of Substance,01/23/2008,Cromer,Manitoba,Enbridge Pipelines Inc.,Crude Oil - Sweet,No,Equipment Failure
INC2008-008,Release of Substance,01/29/2008,Fort Nelson,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sweet,No,Defect and Deterioration
INC2008-009,"Release of Substance, Adverse Environmental Effects",01/29/2008,Taylor,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Potassium Hydroxide (caustic solution),Yes,Equipment Failure
INC2008-016,Release of Substance,02/23/2008,Beiseker,Alberta,Foothills Pipe Lines Ltd.,Natural Gas - Sweet,No,Defect and Deterioration
INC2008-018,Release of Substance,02/25/2008,Moosomin,Saskatchewan,TransCanada PipeLines Limited,Natural Gas - Sweet,No,Incorrect Operation
INC2008-020,Release of Substance,03/03/2008,Dryden,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,No,Corrosion and Cracking
INC2008-021,Release of Substance,03/03/2008,Smooth Rock Falls,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,No,Equipment Failure
INC2008-027,Release of Substance,03/14/2008,Rapid City,Manitoba,TransCanada PipeLines Limited,Natural Gas - Sweet,No,Corrosion and Cracking
INC2008-030,Fatality,03/24/2008,Kerrobert,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,Yes,"External Interference, Incorrect Operation"
INC2008-034,Release of Substance,04/01/2008,Haileybury,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,No,Corrosion and Cracking
INC2008-037,Release of Substance,04/18/2008,Kenora,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,No,Defect and Deterioration
INC2008-039,Release of Substance,04/21/2008,Regina,Saskatchewan,"Plains Marketing Canada, L.P.",Crude Oil - Sweet,No,Equipment Failure
INC2008-040,Release of Substance,04/25/2008,Charlie Lake,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sour,Yes,Defect and Deterioration
INC2008-041,Release of Substance,04/25/2008,Chetwynd,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sour,Yes,Equipment Failure
INC2008-043,Fire,05/01/2008,Cromer,Manitoba,Enbridge Pipelines Inc.,Not Applicable,No,External Interference
INC2008-045,Release of Substance,05/06/2008,Herschel,Saskatchewan,Enbridge Pipelines Inc.,Crude Oil - Sweet,No,Defect and Deterioration
INC2008-048,Release of Substance,05/12/2008,Regina,Saskatchewan,Enbridge Pipelines Inc.,Crude Oil - Sweet,No,Equipment Failure
INC2008-052,Fire,05/21/2008,Emerson,Manitoba,TransCanada PipeLines Limited,Not Applicable,No,Equipment Failure
INC2008-055,Adverse Environmental Effects,05/31/2008,Fort St. John,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,Yes,Equipment Failure
INC2008-056,Release of Substance,06/05/2008,Edmonton,Alberta,Enbridge Pipelines Inc.,Crude Oil - Sweet,No,Equipment Failure
INC2008-057,Release of Substance,06/06/2008,Maple,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,No,Corrosion and Cracking
INC2008-058,Adverse Environmental Effects,06/09/2008,Not specified,New Brunswick,Emera Brunswick Pipeline Company Ltd.,Not Applicable,Yes,Equipment Failure
INC2008-060,Release of Substance,06/12/2008,Portage La Prairie,Manitoba,TransCanada PipeLines Limited,Natural Gas - Sweet,No,Equipment Failure
INC2008-062,Fire,06/24/2008,Moyie,British Columbia,TransCanada PipeLines Limited,Not Applicable,No,External Interference
INC2008-063,Fatality,06/25/2008,Herschel,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,Yes,Incorrect Operation
INC2008-067,Release of Substance,07/06/2008,Edmonton,Alberta,Enbridge Pipelines Inc.,Crude Oil - Synthetic,No,Incorrect Operation
INC2008-070,Release of Substance,07/17/2008,Moosomin,Saskatchewan,TransCanada PipeLines Limited,Natural Gas - Sweet,No,Defect and Deterioration
INC2008-072,Release of Substance,07/18/2008,Alameda,Saskatchewan,Alliance Pipeline Ltd.,Natural Gas - Sweet,No,Equipment Failure
INC2008-075,Release of Substance,07/23/2008,Edmonton,Alberta,Enbridge Pipelines Inc.,Diesel Fuel,No,Equipment Failure
INC2008-078,Release of Substance,07/31/2008,Hearst,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,No,Defect and Deterioration
INC2008-079,Release of Substance,08/08/2008,Herbert,Saskatchewan,Spectra Energy Empress Management Inc. as General Partner and Agent for Spectra Energy Empress L.P.,Propane,No,Equipment Failure
INC2008-080,Serious Injury (CER or TSB),08/15/2008,Valemount,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,Yes,Incorrect Operation
INC2008-084,Fire,08/26/2008,Not specified,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,No,External Interference
INC2008-085,Fire,09/04/2008,Not specified,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,No,Equipment Failure
INC2008-086,Release of Substance,08/28/2008,Vermilion Bay,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,No,Corrosion and Cracking
